katedra,zkratka,nazev
KCH,BK225,ICT ve výuce chemie
KCH,B200,Organická chemie
KCH,B317,Membránové separace
KCH,E105,Experimen. Methods: Laboratory Tutorials
KCH,E108,Introduction to programming with MATLAB
KCH,KN11,Anorganická chemie Nmgr.
KCH,KN16,Dějiny chemie
KCH,KN29,"Chemické výrobky v praxi,chem. kolem nás"
KCH,KN34,Souvislá pedagogická praxe II - ZŠ
KCH,N012,ICT ve výuce chemie
KCH,N026,Elektromigrační metody
KCH,N102,Školní pokusy
KCH,N107,Návykové látky a právní předpisy
KCH,N305,Struktura hmoty a kvantová chemie
KCH,N410,Souvislá pedagogická praxe II - ZŠ
KCH,N413,Organická chemie Nmgr. - ZŠ
KCH,PD02,Supramol. chemie a design fun. nanostr.
KCH,PD07,Nanomateriály pro ochranu ŽP
KCH,P113,VK - Odborná angličtina II
KCH,P220,Fyzika pro chemiky
KCH,P411,Úvod do spektr. metod v organické chemii
KCH,P518,Medicína katastrof
KCH,P530,Biochemie
KCH,0160,Chemie boranů
KCH,BK207,Instrumentální analýza
KCH,BK312,Toxikologie a legislativa ČR a EU 2
KCH,KN20,Biochemie NMgr. - ZŠ
KCH,KN45,Didaktický seminář II
KCH,KN46,Právní aspekty vzdělávání a předpisy
KCH,K411,Seminář z fyzikální chemie
KCH,K610,Instrumentální analýza
KCH,LBO,Laboratorní cvičení z organické chemie
KCH,M211,Úvod do modelování průmyslových procesů
KCH,N226,Souvislá pedagogická praxe I - SŠ
KCH,N403,Souborný seminář
KCH,N404,Polymery NMgr.
KCH,N415,Polymery NMgr.
KCH,N419,Souborný seminář
KCH,P203,Seminář z anorganické chemie
KCH,P212,Laboratorní technika
KCH,P224,Anorganická chemie
KCH,P412,Analytická chemie životního prostředí
KCH,P531,Laboratorní cvičení z biochemie
KCH,P608,Vzorkování a Analýza škodlivin
KCH,P628,PVK - Souborný seminář II
KI,AFJ,Teorie automatů a formálních jazyků
KI,APNME,Numerical Methods in Practice
KI,APR1,Algoritmizace a programování I
KI,ASO2,Analýza signálu a obrazu v praxi II
KI,A192,Computational Geometry
KI,EAPR1,Algorithms and Programming I
KI,ECGR,Fundament. of Com. Graphics and Multimed
KI,EDEP,Dependability of Information Systems
KI,EDUL,Data Storage and Processing
KI,EICT,Information and Communicat. Technologies
KI,KDUL,Datová úložiště a zpracování dat
KI,KPAU,Programovatelné automaty
KI,KPGL1,Programování I
KI,KRSP,Komplexní reflektivní seminář praxe
KI,KUCS,Úvod do číslicových systémů
KI,KUKS,Úvod do kombinovaného studia
KI,PVS,Projektové výzvy a strategie v IT
KI,RDBS,Relační databázové systémy
KI,ROB,Práce s robotickými stavebnicemi
KI,UBT,Úvod do bezdrátových technologií
KI,XNME,Numerické metody
KI,YAPR,Algoritmizace a programování
KI,YHPS,Hardware a počítačové sítě
KI,YMPG,Multimédia a počítačová grafika
KI,YTIM,Teoretická informatika a matematika
KI,0126,CCNA 2: Routing and Switching Essentials
KI,0160,Modelování podnikových procesů
KI,0163,Zpracování obrazu
KI,0172,Hradlová pole a jazyk VHDL
KI,0177,Information Security
KI,0192,Výpočetní geometrie
KI,0199,CCNP 3 - Tshoot
KI,AEL,Analogová elektronika
KI,AKA,Aplikovaná kryptoanalýza
KI,APR2,Algoritmizace a programování II
KI,AVG,Aplikace výpočetní geometrie
KI,BIT,Bezpečnost IS/IT
KI,EITP,Internet Technologies and Protocols
KI,EPMP,Programming for Mobile Platforms
KI,ETFI,Automata and Formal Language Theory
KI,KAIE,Aplikace internetu a e-learning
KI,KAVD,Analýza a vizualizace dat
KI,KDPS2,Diplomový seminář II
KI,KKRY,Základy kryptologie
KI,KVPOV,Vybrané partie z operačního výzkumu
KI,MTCNA,MikroTik Certified Network Associate
KI,PDSY,Praktikum z databázových systémů
KI,SON,Sociální sítě
KI,UDU,Úvod do Unixu
KI,0126,CCNA 2: Routing and Switching Essentials
KI,0188,Programování PIC32
KI,0209,IoT s využitím Raspberry Pi a Arduino
KMA,KGE,Konstrukční geometrie
KMA,KPSPN,Přípravný seminář k pedagogické praxi
KMA,KTAR,Teoretická aritmetika
KMA,K113,Repetitorium matematiky
KMA,K117,Matematická analýza I
KMA,K118,Úvod do matematiky
KMA,K505,Komplexní analýza
KMA,K513,Teoretická aritmetika
KMA,MK100,Didaktika matematiky I
KMA,MK304,Geometrie na počítači
KMA,MT1,Matematika I
KMA,M103,Didaktika matematiky I
KMA,M301,Diferenciální geometrie
KMA,PS3,Projektový seminář III
KMA,P134,Lineární algebra a geometrie I
KMA,P136,Úvod do matematiky
KMA,P321,Diferenciální geometrie
KMA,P339,Teorie míry
KMA,P552,Diplomový seminář
KMA,CAL2,Matematická analýza II
KMA,KPRM,Praktikum z matematiky pro chemiky
KMA,K231,Lineární algebra a geometrie
KMA,MK402,Aplikační úlohy ve vyučování matematice
KMA,M203,Didaktika matematiky II
KMA,M204,Modelování ve vyučování matematice
KMA,PS1,Projektový seminář I
KMA,P227,Teorie grafů
KMA,P423,Matematická analýza IV
KMA,P449,Diskrétní matematika
CNB,BP502,Fyziologie živočichů a člověka
CNB,NA21,Nanobiotechnologie
CNB,PRAX,Praxe
KBI,BAK,Bakalářská práce
KBI,BP,Bakalářská práce
KBI,BP301,Forenzní biologie
KBI,E116,Methods in Molecular Biology
KBI,E124,Genetics
KBI,ITBV1,IT v biologických vědách I
KBI,K409,Základy fytopatologie
KBI,N035,Diplomový seminář
KBI,N041,Ekologie a vývoj kulturní krajiny
KBI,N054,Paleontologie
KBI,PD10,Biosensory a mikrofluidní systémy
KBI,P101,Výchova ke zdraví a základy první pomoci
KBI,P108,Didaktika biologie I
KBI,P120,Biologické laboratorní metody I
KBI,P308,Environmentální výchova
KBI,P328,Limnobiologie
KBI,P332,Fylogeneze a systém strunatců
KBI,P521,Fyziologie rostlin
KBI,P592,Ekotoxikologie
KBI,0086,VK - Terénní cvičení z mammalogie
KBI,BK105,Management divokých zvířat
KBI,BK205,Biologie kvasinek
KBI,BK220,Úvod do přípr. odb. studií a věd. komun.
KBI,BK304,Role moderních ZOO v ochraně přírody
KBI,E125,Plant Biotechnology
KBI,E128,Appl. of Meth. of Molecular Genetics
KBI,K402,Biologie a ekologie člověka
KBI,K409,Základy fytopatologie
KBI,K411,Ekologie
KBI,MA205,Ornitologie
KBI,N022,Mykologie
KBI,N024,Fyziol. a mol. biolog. eukar. buňky II
KBI,N036,Algologie
KBI,PB220,Úvod do přípr. odb. studií a věd. komun.
KBI,P616,Role moderních ZOO v ochraně přírody
KBI,P707A,Souvislá pedagogická praxe I - SŠ
KBI,REM,Rastrovací elektronová mikroskopie
KFY,APM,Project Management
KFY,B201,Fyzika pro chemiky II
KFY,CM102,Statistical thermodynamics
